tweet_id,gemma3_27b_k1
fcb1ff9a6c7f,0.05
59744af8ba0a,0.0
a5f21ee88cfb,0.15
f26152607011,0.65
4e8574a91409,0.05
a4199053c0ae,0.15
3e3cf3e311f7,0.05
ed5684de06f1,0.95
dc0427013a97,0.25
7a761c7b8913,0.92
e6ee779aa984,0.0
fb5168eeaee7,0.05
c34ad6b609e4,0.92
75072bb97267,0.35
491cf46a85be,0.08
9eaa3725ace1,0.67
cb4f95505141,0.05
6b3fa6b0a978,0.03
11b072c95228,0.12
7594a3cf1ffc,0.35
c90f94c115d4,0.98
6fb6699ddb38,0.95
fdcde2ad9cb6,0.65
9395fc83dbea,0.21
0217e2942a66,0.08
3ee609970ba1,0.92
1918fc1c6776,0.25
117736adcb46,0.92
61f78034335b,0.0
cdef6f71e53c,0.05
0f7b269bb0e1,0.65
999fb9790559,0.91
f384a3d50d51,0.35
a8070037072e,0.78
8eb6b3284e67,0.92
326eb1c3a47b,0.92
6580f1f4dda4,0.17
11f3e8e99de9,0.27
5a590076bdf2,0.15
790bbc7699f6,0.78
3f2f62b64a46,0.15
04085d43cafb,0.78
cc65ab05dd82,0.27
b961546e4c34,0.05
262f5e2432bb,0.05
bec52c3b97a9,0.91
ee2f99c1f0e3,0.78
ee1cabf8d91e,0.95
1326a2e6b40c,0.05
c4b7ccf85e88,0.95
98197a61396d,0.05
d3d824d68827,0.15
328d17912754,0.65
20604767f68e,0.05
f87b2d040f9c,0.95
b6d03924ba0b,0.45
d9b53d7fe0de,0.05
6e25c1dcf9d2,0.95
b3abad8f2f9d,0.05
30cfa992902a,0.05
03b6ac210a18,0.91
c9536ae51292,0.62
c85e3c8f7f37,0.35
cd174df77b6a,0.05
ac5ffff31729,0.95
65fd213080ac,0.92
35811155b165,0.92
a1a0e649da00,0.92
560d5e042f79,0.95
3990f62a3dc6,0.92
638505bfc40d,0.78
33037e5a479e,0.15
23d974a3378b,0.15
8c839b17873d,0.95
1bd7b5f1788c,0.78
069cd59f3699,0.78
1ee2841e14f0,0.25
24097a929a9f,0.05
ac040d24dc61,0.95
df17416ee650,0.95
49eec9dcc8c7,0.78
53a762bd2136,0.95
70f28072608b,0.35
710c6a10d231,0.92
79acf774fd10,0.95
de1f471a146a,0.35
d33f6ca623c9,0.78
7b2c72bb324d,0.65
2d21d4ba1cd3,0.08
ca5744994573,0.92
7490a40c5298,0.05
27c4d29ba8e2,0.95
602a968fadba,0.27
1451543cdef8,0.35
29ade1522dd1,0.67
7067df323d78,0.95
f620df971bb8,0.95
14f8efdaa4bd,0.95
40e481da87c1,0.92
01f8ac2bc540,0.05
511805e90974,0.05
4.72239E+11,0.05
a838081e7345,0.95
acd7a3c8c853,0.95
c8a1f709a092,0.95
5694dd8a323f,0.15
85e28a3cba31,0.25
75b7a40b2ca0,0.95
c4a6504c9991,0.92
b108ad8f8bc4,0.02
b8de504c17f4,0.67
b839fd0fae1e,0.05
33257a8a5bbd,0.95
090148e8a026,0.0
ca2c28c29dfa,0.78
19249273cff7,0.35
e6a01d8922b7,0.65
c2a2934be5c7,0.17
80fdda51a089,0.35
2e790a12abca,0.37
93aab52d7ad8,0.95
449c78cd4d59,0.05
44876892fcec,0.92
96df07ef343c,0.05
5d30140bfc79,0.05
73e01ee5c514,0.17
c23a6892d1ed,0.95
4af3ed4b24f7,0.78
77f9d345b278,0.05
9af2628a1ac6,0.05
0a14be49e150,0.02
5943b66bb54c,0.78
8b9e279de81e,0.92
ed3932295d9d,0.65
d18285d3c7ec,0.05
e29113b41191,0.27
6c951b19172c,0.25
766612d68655,0.45
d8ab97429fdf,0.92
243d252f7ca3,0.65
9db080ed1e1d,0.27
8e66379d50d0,0.05
f2c97057b1c8,0.27
4dcbc1d686fe,0.25
96f9fe7bf6d3,0.25
8c976693c7d3,0.95
92d30ae65fea,0.78
4.91836E+11,0.05
978e54bd499d,0.05
45d8fefbf773,0.92
