user_id,tweet_id,tweet_text,class
user0001,0d3ed29586ce,Cheesecake saludable sin azúcar y sin lactosa  con mermerlada casera de moras,control
user0002,c3cf897a495b,"ser como ellas ♡♡
  #HastaLosHuesos",anorexia
user0003,5041d85c45c6,"Comida Real o , la clave para estar más sana, delgada y feliz 

https://www.modalia.es/estilo-de-vida/15192-comida-real-o-real-food-la-clave-para-estar-mas-sana-delgada-y-feliz.html …",control
user0004,d18285d3c7ec,"Entre el cambio de hora y la bajada de las #temperaturas  estamos destemplados, por eso os recomendamos un buen plato de #fabada #casera  para entonar el cuerpo   #decasa #platoscuchara  #madridrio #gastro #arganzuela",control
user0005,4d81892f3217,Hace mucho tiempo no sentía mi cuerpo tan frío,anorexia
user0006,8beeb35e11de,Ser gorda esta mal,anorexia
user0007,a34963448596,"Si en un restaurante, la pretensión es el ingrediente principal del plato que pediste, mejor comete el pan.  #cocinardeverdadesotracosa",control
user0008,1ed5154df490,"Puaa increible, nose como permiten esas paginas de mierda que llenan la cabeza de bobadas  #diariode",control
user0009,99c105ae2f12,"Perder una batalla, no significa que la guerra este perdida, cada día es una batalla, nuestras metas son la victoria.",anorexia
user0010,18c237db6f53,"Cuando la ley no responde  nuestras elecciones hacen el cambio. Come local y sustentable, respetando la vida de los seres que serán tu comida.  #somosloquecomemos #somosloqueelegimos",control
user0011,02c4086ec8e3,Quisiera pasar todas las vacaciones asi   #thin #thinspiration  #thinsgap #thinspo #legs #perfect #outfit,anorexia
user0012,194c855a0ff5,"Hoy en el #asaltablog hemos robado a Mel de @migasenlamesa estas fantásticas Aloo Parathas Integrales.
Típicas d la cocina India las hemos convertido en el complemento perfecto de una cena sana, sabrosa y deliciosa
 #recipes",control
user0013,5301def06867,Estoy como para saltearme el almuerzo,anorexia
user0014,da4a678f2693,Estoy cansada de estar pérdida.   #Anorexia #Bulimia,anorexia
user0015,af6077c20b97,"Los huesos que se me notan, son la copa, la medalla, por haberte ganado la batalla.
.",anorexia
user0016,95f0866200e2,"Norex Anfepromona un potente medicamento para dejar de comer en exceso
ADELGAZA SIN HAMBRE
#TusClásicos #SabadoDeGanarSeguidores #EsPuenteYTodos #bellezasuperior
#TwitterBestFandom
#SoompiAwards
#ConvoyVL19
#20anosVL19 #Tampico #Dieta #Obesidad #Madero #Tamaulipas #Fit",control
user0017,7bc01e182024,Cambiar la comida por el alcohol,anorexia
user0018,121b9bdab738,"Flipo!! Pero porqué en vez de dejar de buscar cosas guarras sin gluten, no empiezan a comer  ? Abandonar los #ultraprocesados y la #bolleria ayudaría bastante... digo yo #equipogluten.",control
user0019,97cad7c82a89,Voy a dejar esta foto aquí y cada que quiera comer antojos recordaré que tengo que cenar maldito atún en agua y que cada antojo se convierte en mas cenas de atún con agua... … https://www.instagram.com/p/BvTABgSDMCI/?utm_source=ig_twitter_share&igshid=aan8lerwcbwl …,control
user0020,77f9d345b278,El desafío de flexiones de brazos que dura 10 minutos http://ow.ly/hht250nwXjb   #entrenamiento #workout #FelizMartes,control
user0021,a8cb02cd180b,Tiempo para una receta deliciosa!! Quien está listo para mirar el bocadillo saludable que vamos a preparar??? #vidasaludable  #cocina,control
user0022,c8d7fb50f38d,"Más #pegatinasrealfooder 
La idea es motivar a niños ( y a los no tan niños) a comer mejor. Más  y menos ultraprocesados. Un punto = una pegatina por cada día que comas sano. ¿Conseguiremos cambiarlo un poquito? Sería genial aplicarlo en distintos centros.
@Fruitube",control
user0023,163238e7fd2a,El día que pese 45 kilos seré feliz,anorexia
user0024,ebb7399ccc84,Meta del día más que cumplida  #noteat,anorexia
user0025,902edae2d259,¿Aún no tienes cena? Te traemos una receta sencilla y riquísima: Patata fundente de torta #cañarejal con pechuga a las finas hierbas  #foodie  #recetas,control
user0026,434cdbfccbbe,#MePongoDeBuenasCuando veo que sigo baje y baje de peso,anorexia
user0027,cd0f0a4a9c28,"""Alegría al adelgazar y frustración al engordar"" #testimonios2016 #anorexia  http://www.setcabarcelona.com/testimonio-paciente-de-anorexia-como-empieza-todo/ …",anorexia
user0028,b3a231c48237,"Me to others: everybody should love their body and accept it in the way they are, all body types are beauty. 
Me to me:
 #anorexia #anorexic #ana #mia #skinny",anorexia
user0029,790304dc259a,"#Tip 
Esta lista es un resumen de la #verduras  y #legumbres que tienen pocas #calorias   #vegetarian",anorexia
user0030,dd5dfd3a9b88,Mañana empiezo otra vez!,anorexia
user0031,2910abc4f79a,12 hs sin comer #anoreccia  #bulymia #amarme,anorexia
user0032,164d6705e9ba,"Cuando la gente me pregunta, puedo tomar Coca-Cola light? Aquí tenéis la respuesta. Insisto siempre en que desde que existen los alimentos “light” la obesidad en el mundo no ha hecho más que crecer.  only",control
